Name,Section,Due Date,Description
Set Vercel environment variables,Sprint 1 — Reconnect,2026-03-28,"MANUAL: Add Supabase + Stripe env vars to Vercel project (photo-sorter). Kyle provides values: NEXT_PUBLIC_SUPABASE_URL, NEXT_PUBLIC_SUPABASE_ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, STRIPE_SECRET_KEY, STRIPE_WEBHOOK_SECRET, NEXT_PUBLIC_STRIPE_PUBLISHABLE_KEY"
Re-enable Supabase auth middleware,Sprint 1 — Reconnect,2026-03-28,"Restore src/middleware.ts to check Supabase sessions. Redirect unauthed from /dashboard to /auth/login. Redirect authed away from /auth/*. Check onboarding status. File: src/middleware.ts"
Reconnect dashboard to Supabase,Sprint 1 — Reconnect,2026-03-28,"Replace static mock at src/app/dashboard/page.tsx with server component using DashboardShell (src/components/features/workspace/DashboardShell.tsx). Fetch workspaces, projects, photo counts from Supabase."
Reconnect project workspace,Sprint 1 — Reconnect,2026-03-29,"Replace static mock at src/app/dashboard/project/[id]/page.tsx with WorkspaceView (src/components/features/workspace/WorkspaceView.tsx). Fetch real project + media from Supabase."
Reconnect auth pages to useAuth,Sprint 1 — Reconnect,2026-03-29,"Restore login/signup pages to use useAuth hook (src/hooks/useAuth.ts) for signIn, signUp, signInWithGoogle, resetPassword. Files: src/app/auth/login/page.tsx, src/app/auth/signup/page.tsx"
Reconnect onboarding wizard,Sprint 1 — Reconnect,2026-03-30,"Restore OnboardingWizard (src/components/features/onboarding/OnboardingWizard.tsx) that creates profiles, workspaces, first project in Supabase. File: src/app/onboarding/page.tsx"
Reconnect gallery to real data,Sprint 1 — Reconnect,2026-03-30,"Replace static gallery at src/app/gallery/[id]/page.tsx with real GalleryView + AccessGate + GalleryPaywall from src/components/features/gallery/."
Build Cloudflare upload handler,Sprint 2 — Images,2026-04-01,"After Supabase Storage upload, push to Cloudflare Images for CDN transforms. Update media row with cloudflare_image_id. File: src/lib/cloudflare.ts (currently stub). Ref: SPEC.md Section 7."
Implement thumbnail generation,Sprint 2 — Images,2026-04-01,"Auto-generate thumbnail variant URLs via Cloudflare transforms. Wire into MediaCard and PhotoGrid to use real image URLs. Files: src/lib/cloudflare.ts, src/components/features/MediaCard.tsx"
Implement watermark overlay,Sprint 2 — Images,2026-04-02,"Cloudflare Images overlay transform for PROOF watermark on preview-level gallery access. Applied at CDN level. File: src/lib/cloudflare.ts. Ref: SPEC.md Section 10."
Set up Resend SDK,Sprint 3 — Email,2026-04-03,"Install Resend, configure API key, create send wrapper at src/lib/email/send.ts. Support HTML templates via react-email."
Build 6 email templates,Sprint 3 — Email,2026-04-03,"Create react-email templates: Welcome, GalleryInvitation, ProjectPublished, PaymentConfirmation, PaymentReceived, PaymentFailed. Files: src/lib/email/templates/*.tsx. Ref: SPEC.md Section 11."
Wire email triggers,Sprint 3 — Email,2026-04-04,"Send Welcome on signup, GalleryInvitation on client invite, ProjectPublished on publish, Payment emails from Stripe webhook. Files: src/app/api/webhooks/stripe/route.ts, auth callback."
Build real notification system,Sprint 3 — Email,2026-04-04,"Insert notification rows in Supabase on key events. Fetch real notifications for bell dropdown in layout. Replace mock data. Files: src/app/dashboard/layout.tsx, new: src/lib/notifications.ts"
Wire publish flow to Supabase,Sprint 4 — Gallery Flow,2026-04-05,"Connect publish page to real Supabase update — set status to published, generate shareable gallery URL. File: src/app/dashboard/project/[id]/publish/page.tsx"
Implement magic link invitations,Sprint 4 — Gallery Flow,2026-04-05,"Send magic link email via Resend, create project_clients row in Supabase. Client clicks link → OAuth → auto-linked. Ref: SPEC.md Section 10."
Build resolve_gallery_access RPC,Sprint 4 — Gallery Flow,2026-04-06,"Create Supabase RPC function checking project_clients, project_pricing, bookings, file_purchases for access level + payment status. Files: supabase/migrations/, src/lib/queries/"
Build ZIP export,Sprint 4 — Gallery Flow,2026-04-07,"Generate ZIP organized by category folders. Use JSZip. Serve as download from API route. Files: src/lib/utils/zip.ts, src/app/api/export/route.ts"
Wire account settings to Supabase,Sprint 5 — Polish,2026-04-08,"Connect settings page to Supabase profile update — name, business name, avatar upload. File: src/app/dashboard/settings/page.tsx"
Wire Stripe Connect onboarding,Sprint 5 — Polish,2026-04-08,"Real Stripe Connect OAuth flow — create express account, generate onboarding link, handle callback. Files: src/app/dashboard/settings/connect/page.tsx, src/lib/stripe/connect.ts"
Implement batch rename engine,Sprint 5 — Polish,2026-04-09,"Build rename logic expanding template tokens ({project}, {category}, {n}, {date}) and updating media.display_name in Supabase. Files: src/lib/utils/rename.ts, src/app/dashboard/project/[id]/rename/page.tsx"
Add loading states and error boundaries,Sprint 5 — Polish,2026-04-09,"Add skeleton loaders for data-fetching pages, friendly empty state messages, error.tsx boundaries for all route segments."
Mobile responsive pass,Sprint 5 — Polish,2026-04-10,"Test and fix all pages on mobile viewports. Sidebar collapses, grids adapt, forms stack."
End-to-end smoke test,Sprint 6 — Launch,2026-04-11,"Full photographer journey: signup → onboard → create project → upload → AI sort → review → publish → invite → client views → client pays → download"
Stripe test mode verification,Sprint 6 — Launch,2026-04-11,"Verify all payment flows in Stripe test mode: subscription checkout, gallery purchase, Connect payout, webhook processing."
Security review,Sprint 6 — Launch,2026-04-12,"Audit all RLS policies, ensure no secrets in client code, verify signed URL expiration, check CORS headers."
Performance audit,Sprint 6 — Launch,2026-04-12,"Run Lighthouse on key pages, check bundle size, ensure images use next/image or Cloudflare CDN."
Production deploy 🚀,Sprint 6 — Launch,2026-04-13,"Switch from test to live Stripe keys, connect custom domain, final production deployment. MILESTONE."
