Name,Section,Due Date,Description
Supabase auth trigger for auto-creating profiles,Day 1 — Core Flows,2026-03-28,"Create a Supabase database trigger that fires on auth.users INSERT and creates a profiles row with defaults (tier='free', onboarded=false, role='photographer'). File: supabase/migrations/20260328000000_profile_trigger.sql."
Set up Resend SDK + email send utility,Day 1 — Core Flows,2026-03-28,"Create src/lib/email/send.ts — import Resend, initialize with RESEND_API_KEY, export sendEmail(to, subject, html). Add RESEND_API_KEY to Vercel."
Build Welcome email template,Day 1 — Core Flows,2026-03-28,"Create src/lib/email/templates/Welcome.tsx using react-email. View1 Sort branding, welcome message, CTA to dashboard. Wire into signup flow."
Build Gallery Invitation email template,Day 1 — Core Flows,2026-03-28,"Create src/lib/email/templates/GalleryInvitation.tsx — project name, photographer name, CTA button with gallery link + access token."
Build Payment Confirmation email template,Day 1 — Core Flows,2026-03-28,"Create src/lib/email/templates/PaymentConfirmation.tsx — amount, project name, download link. Wire into Stripe webhook (checkout.session.completed)."
Wire publish flow to Supabase,Day 1 — Core Flows,2026-03-28,"Make Publish button update projects.status='published' + published_at=now(). Generate gallery URL /gallery/{projectId}. Show success with copyable link."
Build gallery invite API endpoint,Day 1 — Core Flows,2026-03-28,"Create POST /api/gallery/[id]/invite — accepts {email}. Creates gallery_access row with token, sends GalleryInvitation email via Resend."
Wire invite button on publish page,Day 1 — Core Flows,2026-03-28,"Wire email input + Send Magic Link button to POST /api/gallery/[id]/invite. Show success toast."
Build Cloudflare Images upload handler,Day 2 — Images & Settings,2026-03-29,"Create upload function in src/lib/cloudflare.ts. Push to Cloudflare Images API after Supabase Storage upload. Update media row with cloudflare_image_id and thumbnail_url."
Wire Cloudflare upload into media upload flow,Day 2 — Images & Settings,2026-03-29,"After Supabase Storage upload success, trigger Cloudflare upload. Update media row with URLs. Gallery/workspace display real thumbnails."
Implement watermark overlay via Cloudflare variants,Day 2 — Images & Settings,2026-03-29,"Configure Cloudflare variants: public (full), thumbnail (400px), watermark (PROOF overlay). Gallery serves watermark for preview-tier."
Wire account settings to Supabase update,Day 2 — Images & Settings,2026-03-29,"Settings page form saves display_name, avatar_url to profiles table. Show success toast."
Wire gallery theme selection to persist,Day 2 — Images & Settings,2026-03-29,"Theme selection in project settings updates projects.gallery_theme. Gallery page reads and applies correct theme."
Wire pricing configuration to persist,Day 2 — Images & Settings,2026-03-29,"Pricing model, flat_fee_cents, per_photo_cents save to projects table on Save Configuration click."
Build ZIP export API route,Day 3 — Polish & Launch Prep,2026-03-30,"Create GET /api/gallery/[id]/export — validates access, generates ZIP by category folders using JSZip. Wire export page button."
Implement batch rename template engine,Day 3 — Polish & Launch Prep,2026-03-30,"src/lib/utils/rename.ts expandTemplate() replaces {project} {category} {n} {date} tokens. Bulk update media.display_name."
Enforce free tier project limit,Day 3 — Polish & Launch Prep,2026-03-30,"Check tier on project creation. Free tier >= 3 projects → block with upgrade prompt."
Handle Stripe Connect pending state,Day 3 — Polish & Launch Prep,2026-03-30,"Settings/connect page checks ?connected=pending param. Shows 'Complete your Stripe setup' banner."
Wire real notification inserts on key events,Day 3 — Polish & Launch Prep,2026-03-30,"Create src/lib/notifications.ts. Insert notifications on payment received, gallery invite, project published, upload complete."
End-to-end smoke test,Day 3 — Polish & Launch Prep,2026-03-31,"MANUAL: signup → onboard → upload → AI sort → pricing → publish → invite → client views → client pays → downloads. Document failures."
